Product Line,Product Name,Condition,Number,Set,Rarity,Quantity,Main Photo URL,Set Release Date,SkuId,Order Quantity
"Magic","Green Sun's Twilight","Near Mint","169","Phyrexia: All Will Be One","R","1","","02/03/2023 00:00:00","6935069","95CE391B-08A68B-118AD:1"
"Magic","Gwenna, Eyes of Gaea","Near Mint","185","The Brothers' War","R","1","","11/18/2022 00:00:00","6709295","95CE391B-08A68B-118AD:1"
"Magic","The Temporal Anchor","Near Mint","82","The Brothers' War","R","1","","11/18/2022 00:00:00","6677057","95CE391B-EC3854-376A9:1"
"Magic","Semblance Anvil","Near Mint","52","The Brothers' War: Retro Frame Artifacts","R","1","","11/18/2022 00:00:00","6699691","95CE391B-D29ED6-C0434:1"
"Magic","Staff of Domination","Near Mint","56","The Brothers' War: Retro Frame Artifacts","M","1","","11/18/2022 00:00:00","6673577","95CE391B-15BC04-2F17A:1"
"Magic","Thorn of Amethyst","Near Mint","60","The Brothers' War: Retro Frame Artifacts","R","1","","11/18/2022 00:00:00","6673257","95CE391B-74D1EE-55B75:1"
"Magic","Golden Argosy","Near Mint","230","Dominaria United","R","1","","09/09/2022 00:00:00","5748481","95CE391B-15F544-6D3DC:1"
"Magic","Blade of the Oni","Near Mint","89","Kamigawa: Neon Dynasty","M","1","","02/18/2022 00:00:00","5396820","95CE391B-272CA9-5EC89:1"
"Magic","Light-Paws, Emperor's Voice","Near Mint","25","Kamigawa: Neon Dynasty","R","2","","02/18/2022 00:00:00","5393929","95CE391B-272CA9-5EC89:1 | 95CE391B-4BC145-60E54:1"
"Magic","Geralf, Visionary Stitcher","Near Mint","61","Innistrad: Crimson Vow","R","1","","11/19/2021 00:00:00","5257844","95CE391B-F524DA-137F7:1"
"Magic","Champion of the Perished","Near Mint","91","Innistrad: Midnight Hunt","R","1","","09/24/2021 00:00:00","5143141","95CE391B-AB4016-AD047:1"
"Magic","Sludge Monster","Near Mint","76","Innistrad: Midnight Hunt","R","1","","09/24/2021 00:00:00","5166361","95CE391B-25153B-DD935:1"
"Magic","Xanathar, Guild Kingpin","Near Mint","239","Adventures in the Forgotten Realms","M","1","","07/23/2021 00:00:00","5058714","95CE391B-145C9F-BF715:1"
"Magic","Containment Priest","Near Mint","13","Core Set 2021","R","1","","07/03/2020 00:00:00","4444972","95CE391B-74D1EE-55B75:1"
"Magic","Kaervek, the Spiteful","Near Mint","106","Core Set 2021","R","1","","07/03/2020 00:00:00","4457236","95CE391B-74D1EE-55B75:1"
"Magic","Peer into the Abyss","Near Mint","117","Core Set 2021","R","1","","07/03/2020 00:00:00","4439535","95CE391B-28B450-761DE:1"
"Magic","Teferi's Ageless Insight","Near Mint","76","Core Set 2021","R","1","","07/03/2020 00:00:00","4439165","95CE391B-DEA1BC-8F0B4:1"
"Magic","Command the Dreadhorde","Near Mint","82","War of the Spark","R","1","","05/03/2019 00:00:00","4005871","95CE391B-D88F47-D5858:1"
"Magic","Arcades, the Strategist","Near Mint","212","Core Set 2019","M","1","","07/13/2018 00:00:00","3766291","95CE391B-09347A-E50BD:1"
"Magic","Harsh Mentor","Near Mint","135","Amonkhet","R","1","","04/28/2017 00:00:00","3327630","95CE391B-15F544-6D3DC:1"
"Magic","Ghalta, Primal Hunger","Near Mint","222","Foundations","R","1","","11/15/2024 00:00:00","8328065","95CE391B-08A68B-118AD:1"
"Magic","Sword of the Animist","Near Mint","89","Archenemy: Nicol Bolas","R","1","","06/16/2017 00:00:00","3373408","95CE391B-2C34F4-11215:1"
"Magic","Pontiff of Blight","Near Mint","768","Commander Legends: Battle for Baldur's Gate","R","1","","06/10/2022 00:00:00","5656086","95CE391B-74D1EE-55B75:1"
"Magic","Tasha, the Witch Queen","Near Mint","294","Commander Legends: Battle for Baldur's Gate","M","1","","06/10/2022 00:00:00","5606091","95CE391B-90D677-45099:1"
"Magic","Nevinyrral's Disk","Near Mint","328","Commander Legends","R","1","","11/20/2020 00:00:00","4653068","95CE391B-15F544-6D3DC:1"
"Magic","Blasphemous Act","Near Mint","124","Starter Commander Decks","R","1","","12/02/2022 00:00:00","6784223","95CE391B-83317F-B8110:1"
"Magic","Brash Taunter","Near Mint","125","Starter Commander Decks","R","1","","12/02/2022 00:00:00","6784263","95CE391B-989441-1C8EF:1"
"Magic","Chaos Warp","Near Mint","127","Starter Commander Decks","R","3","","12/02/2022 00:00:00","6784303","95CE391B-83317F-B8110:1 | 95CE391B-86846A-02E0E:1 | 95CE391B-989441-1C8EF:1"
"Magic","Dictate of the Twin Gods","Near Mint","131","Starter Commander Decks","R","4","","12/02/2022 00:00:00","6784383","95CE391B-9EB660-F846A:4"
"Magic","Rakdos Signet","Near Mint","272","Starter Commander Decks","U","1","","12/02/2022 00:00:00","6785903","95CE391B-D88F47-D5858:1"
"Magic","Sangromancer","Near Mint","103","Starter Commander Decks","R","2","","12/02/2022 00:00:00","6784023","95CE391B-25153B-DD935:1 | 95CE391B-86846A-02E0E:1"
"Magic","Soul Shatter","Near Mint","108","Starter Commander Decks","R","1","","12/02/2022 00:00:00","6784143","95CE391B-83317F-B8110:1"
"Magic","Thieving Amalgam","Near Mint","150","Commander: Outlaws of Thunder Junction","R","1","","04/19/2024 00:00:00","7854882","95CE391B-D88F47-D5858:1"
"Magic","Skyhunter Strike Force","Near Mint","21","Commander: Phyrexia: All Will Be One","R","1","","02/03/2023 00:00:00","6953975","95CE391B-2ABF5D-ECCDC:1"
"Magic","Deepglow Skate","Near Mint","7","Commander 2016","R","1","","11/11/2016 00:00:00","3243883","95CE391B-25153B-DD935:1"
"Magic","Alms Collector","Near Mint","10","Commander Masters","R","1","","08/04/2023 00:00:00","7251331","95CE391B-2ABF5D-ECCDC:1"
"Magic","Daretti, Scrap Savant","Near Mint","213","Commander Masters","R","1","","08/04/2023 00:00:00","7253525","95CE391B-2C34F4-11215:1"
"Magic","Elvish Mystic (Borderless)","Near Mint","648","Commander Masters","C","1","","08/04/2023 00:00:00","7303419","95CE391B-08A68B-118AD:1"
"Magic","Nulldrifter","Near Mint","13","Modern Horizons 3","R","1","","06/14/2024 00:00:00","7900787","95CE391B-15BC04-2F17A:1"
"Magic","Sowing Mycospawn","Near Mint","170","Modern Horizons 3","R","1","","06/14/2024 00:00:00","7943824","95CE391B-15BC04-2F17A:1"
"Magic","Thief of Existence","Near Mint","174","Modern Horizons 3","R","1","","06/14/2024 00:00:00","7932619","95CE391B-15BC04-2F17A:1"
"Magic","Archon of Cruelty","Near Mint","75","Modern Horizons 2","M","1","","06/19/2021 00:00:00","4985282","95CE391B-74D1EE-55B75:1"
"Magic","Damn","Near Mint","80","Modern Horizons 2","R","1","","06/19/2021 00:00:00","4981682","95CE391B-74D1EE-55B75:1"
"Magic","Solitary Confinement","Near Mint","265","Modern Horizons 2","R","1","","06/19/2021 00:00:00","4978645","95CE391B-4BC145-60E54:1"
"Magic","Crop Rotation","Near Mint","154","Dominaria Remastered","U","1","","01/13/2023 00:00:00","6791536","95CE391B-473589-1359D:1"
"Magic","Sulfuric Vortex (Retro Frame)","Near Mint","332","Dominaria Remastered","R","1","","01/13/2023 00:00:00","6862021","95CE391B-473589-1359D:1"
"Magic","Aragorn, the Uniter","Near Mint","192","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","1","","06/23/2023 00:00:00","7163875","95CE391B-EC3854-376A9:1"
"Magic","Mechanized Warfare","Near Mint Foil","139","The Brothers' War","R","1","","11/18/2022 00:00:00","6706396","95CE391B-2C34F4-11215:1"
"Magic","Braids, Arisen Nightmare (Showcase)","Near Mint Foil","288","Dominaria United","R","1","","09/09/2022 00:00:00","5743216","95CE391B-F6327A-338A6:1"
Orders Contained in Pull Sheet:,95CE391B-08A68B-118AD|95CE391B-28B450-761DE|95CE391B-4BC145-60E54|95CE391B-F524DA-137F7|95CE391B-25153B-DD935|95CE391B-15BC04-2F17A|95CE391B-2C34F4-11215|95CE391B-83317F-B8110|95CE391B-86846A-02E0E|95CE391B-74D1EE-55B75|95CE391B-09347A-E50BD|95CE391B-AB4016-AD047|95CE391B-9EB660-F846A|95CE391B-15F544-6D3DC|95CE391B-989441-1C8EF|95CE391B-D29ED6-C0434|95CE391B-145C9F-BF715|95CE391B-2ABF5D-ECCDC|95CE391B-DEA1BC-8F0B4|95CE391B-90D677-45099|95CE391B-272CA9-5EC89|95CE391B-F6327A-338A6|95CE391B-473589-1359D|95CE391B-EC3854-376A9|95CE391B-D88F47-D5858
